run_time,n_scraped,n_new_detected,n_processed,n_indicators_total,n_hz_total,n_reports,n_new_or_pending,n_requested_process,n_processed_success,n_qc_critical,n_qc_warning
2026-06-12 17:59:28.039797,9,9,5,113,50,4,NA,NA,NA,NA,NA
2026-06-12 18:18:58.846152,11,11,5,0,0,0,NA,NA,NA,NA,NA
2026-06-12 18:30:03.931919,11,11,5,36,68,2,NA,NA,NA,NA,NA
2026-06-12 18:47:19.951822,11,9,5,50,100,3,NA,NA,NA,NA,NA
2026-06-12 18:55:43.108638,11,11,5,64,125,5,NA,NA,NA,NA,NA
2026-06-12 19:02:39.873699,11,7,5,109,224,5,NA,NA,NA,NA,NA
2026-06-12 20:01:25.184998,11,11,5,64,125,5,NA,NA,NA,NA,NA
2026-06-12 20:16:58.111564,11,NA,NA,154,26,7,7,7,7,5,22
2026-06-13 16:29:39.019943,12,1,1,12,25,1,NA,NA,NA,NA,NA
2026-06-13 16:33:05.658132,14,3,3,36,72,3,NA,NA,NA,NA,NA
2026-06-13 16:42:29.160367,14,2,2,36,72,2,NA,NA,NA,NA,NA
2026-06-13 16:49:09.505253,14,2,2,36,72,2,NA,NA,NA,NA,NA
2026-06-13 16:52:26.956697,14,2,2,36,72,2,NA,NA,NA,NA,NA
2026-06-13 16:57:39.336176,14,14,5,100,197,5,NA,NA,NA,NA,NA
2026-06-13 17:00:16.508995,14,9,22,206,403,14,NA,NA,NA,NA,NA
2026-06-13 17:16:28.650195,14,14,5,68,125,5,NA,NA,NA,NA,NA
2026-06-13 17:32:01.549569,14,9,5,131,250,27,NA,NA,NA,NA,NA
2026-06-13 17:34:30.218463,14,5,27,231,403,27,NA,NA,NA,NA,NA
2026-06-13 17:44:43.141457,14,2,5,231,403,27,NA,NA,NA,NA,NA
2026-06-13 17:47:08.023426,14,2,27,231,403,27,NA,NA,NA,NA,NA
2026-06-13 17:53:26.729172,14,2,5,231,403,27,NA,NA,NA,NA,NA
2026-06-13 17:55:58.009942,14,2,27,231,403,27,NA,NA,NA,NA,NA
2026-06-13 18:22:54.962484,14,2,5,23,403,2,NA,NA,NA,NA,NA
2026-06-13 18:23:50.445411,14,2,5,27,403,27,NA,NA,NA,NA,NA
2026-06-13 18:27:23.809113,14,2,27,231,403,27,NA,NA,NA,NA,NA
2026-06-13 18:42:31.894005,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 19:09:33.193939,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 19:22:52.97941,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 19:32:51.610349,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 19:48:48.899693,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 19:58:00.012002,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 20:03:32.70204,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 20:08:43.117332,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 20:22:27.662019,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 20:27:42.465356,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 20:43:08.73325,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 20:53:26.038196,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 20:59:37.536323,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 21:33:12.214342,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 21:43:18.511874,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 21:48:05.26017,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 21:53:11.599562,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-13 22:57:37.610105,13,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-14 10:22:52.256475,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-14 10:27:41.950255,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-14 10:37:40.844535,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-14 11:07:43.18509,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-14 11:17:41.912235,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-14 11:22:48.783296,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-14 11:27:39.995422,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-14 11:32:42.84806,14,2,5,287,403,2,NA,NA,NA,NA,NA
2026-06-15 20:37:43.148781,28,16,5,41,428,28,NA,NA,NA,NA,NA
